command_id,group,command,summary,arguments,flags,output
C001,dataset,dataset list,List declared datasets and metadata,,--format,--format table|json
C002,dataset,dataset validate <dataset-id>,Validate one dataset file contract,dataset-id,--config --strict --compression --random-sample-rows --sample-seed --partition-filter --max-files --random-sample-files,--format table|json
C003,dataset,dataset validate-all,Validate all declared datasets,,--config --fail-fast --compression --random-sample-rows --sample-seed --partition-filter --max-files --random-sample-files,--format table|json
C004,dataset,dataset inspect <dataset-id>,Print discovered columns and inferred types,dataset-id,--sample-size --compression,--format table|json
C005,query,query list,List registered parameterized queries,,--format,--format table|json
C006,query,query run <query-id>,Execute one query with parameters,query-id,--param key=value --limit --output --stream --progress --max-rows --timeout --chunk-size,--format table|json|jsonl|csv
C007,query,query explain <query-id>,Show SQL and resolved datasets without execution,query-id,--param key=value,--format text|json
C008,config,config validate,Validate CUE config structure and references,,--config,--format table|json
C009,core,version,Print CLI version and build metadata,,--format,--format text|json
